Sexo     Edad      Talla      Peso      Localidad
1.000000 63.000000 165.000000 70.000000 1.000000
2.000000 55.000000 162.000000 87.000000 1.000000
1.000000 72.000000 165.000000 75.000000 1.000000
2.000000 52.000000 167.000000 76.000000 2.000000
1.000000 54.000000 167.000000 70.000000 2.000000
1.000000 73.000000 170.000000 76.000000 2.000000
1.000000 49.000000 171.000000 95.000000 2.000000
2.000000 51.000000 145.000000 65.000000 2.000000
1.000000 50.000000 178.000000 82.000000 3.000000
2.000000 41.000000 158.000000 75.000000 3.000000
1.000000 42.000000 177.000000 80.000000 1.000000
1.000000 54.000000 170.000000 82.000000 1.000000
2.000000 58.000000 155.000000 62.000000 2.000000
2.000000 38.000000 166.000000 60.000000 2.000000
2.000000 67.000000 152.000000 52.000000 3.000000
2.000000 62.000000 162.000000 87.000000 3.000000
2.000000 45.000000 155.000000 65.000000 3.000000
1.000000 58.000000 173.000000 90.000000 1.000000
2.000000 59.000000 155.000000 60.000000 1.000000
2.000000 48.000000 160.000000 75.000000 1.000000
2.000000 57.000000 152.000000 70.000000 2.000000
1.000000 50.000000 175.000000 83.000000 3.000000
1.000000 58.000000 190.000000 80.000000 3.000000
1.000000 47.000000 173.000000 86.000000 2.000000
2.000000 46.000000 165.000000 82.000000 1.000000
1.000000 40.000000 169.000000 79.000000 1.000000
2.000000 58.000000 157.000000 70.000000 2.000000
2.000000 52.000000 149.000000 56.000000 2.000000
1.000000 45.000000 173.000000 77.000000 3.000000
1.000000 53.000000 167.000000 72.000000 3.000000
