Sexo      Edad      Talla    Peso      Localidad
10.000000 63.000000 1.650000 70.000000 10.000000
20.000000 59.000000 1.620000 87.000000 10.000000
10.000000 72.000000 1.650000 75.000000 10.000000
20.000000 52.000000 1.670000 65.000000 20.000000
10.000000 54.000000 1.670000 70.000000 20.000000
10.000000 73.000000 1.700000 76.000000 20.000000
10.000000 49.000000 1.710000 95.000000 20.000000
20.000000 51.000000 1.450000 65.000000 20.000000
10.000000 50.000000 1.780000 82.000000 30.000000
20.000000 41.000000 1.580000 75.000000 30.000000
10.000000 42.000000 1.770000 80.000000 10.000000
10.000000 54.000000 1.700000 82.000000 10.000000
20.000000 58.000000 1.550000 62.000000 20.000000
20.000000 38.000000 1.660000 60.000000 20.000000
20.000000 67.000000 1.520000 52.000000 30.000000
20.000000 62.000000 1.620000 87.000000 30.000000
20.000000 45.000000 1.550000 65.000000 30.000000
10.000000 58.000000 1.730000 90.000000 10.000000
20.000000 59.000000 1.550000 60.000000 10.000000
20.000000 48.000000 1.600000 75.000000 10.000000
20.000000 57.000000 1.520000 77.000000 20.000000
10.000000 50.000000 1.750000 83.000000 30.000000
10.000000 58.000000 1.900000 90.000000 30.000000
10.000000 47.000000 1.730000 86.000000 20.000000
20.000000 46.000000 1.650000 82.000000 10.000000
10.000000 40.000000 1.690000 79.000000 10.000000
20.000000 58.000000 1.570000 70.000000 20.000000
20.000000 57.000000 1.490000 56.000000 20.000000
10.000000 45.000000 1.730000 77.000000 30.000000
10.000000 53.000000 1.670000 72.000000 30.000000
