Edad     Talla  Peso     Localidad  Sexo    
63.000000 165 70000.00  1.000000 1.000000
55.000000 162 87000.00  1.000000 2.000000
72.000000 165 75000.000 1.000000 1.000000
52.000000 167 65000.000 2.000000 2.000000
54.000000 167 70000.000 2.000000 1.000000
73.000000 170 76000.000 2.000000 1.000000
49.000000 171 95000.000 2.000000 1.000000
51.000000 145 65000.000 2.000000 2.000000
50.000000 178 82000.000 3.000000 1.000000
41.000000 158 75000.000 3.000000 2.000000
42.000000 177 80000.000 1.000000 1.000000
54.000000 170 82000.000 1.000000 1.000000
58.000000 155 62000.000 3.000000 2.000000
38.000000 166 60000.000 2.000000 2.000000
67.000000 152 52000.000 3.000000 2.000000
62.000000 162 87000.000 2.000000 2.000000
45.000000 155 65000.000 3.000000 2.000000
58.000000 173 90000.000 1.000000 1.000000
59.000000 155 60000.000 1.000000 2.000000
48.000000 160 75000.000 2.000000 2.000000
57.000000 152 82000.000 2.000000 2.000000
50.000000 175 83000.000 3.000000 1.000000
58.000000 190 90000.000 3.000000 1.000000
47.000000 173 86000.000 2.000000 1.000000
46.000000 165 82000.000 1.000000 2.000000
40.000000 169 79000.000 1.000000 1.000000
58.000000 157 70000.000 2.000000 2.000000
52.000000 149 56000.000 2.000000 2.000000
45.000000 173 77000.000 3.000000 1.000000
53.000000 167 72000.000 3.000000 1.000000
55.000000 150 65000.000 2.000000 2.000000
42.000000 177 80000.000 1.000000 1.000000
54.000000 170 82000.000 1.000000 1.000000
73.000000 170 76000.000 2.000000 1.000000
49.000000 171 95000.000 2.000000 1.000000
58.000000 157 70000.000 2.000000 2.000000
52.000000 149 56000.000 2.000000 2.000000
