Edad      Talla      Peso      Localidad  Sexo    
63.000000 1.650000 70000.000000 10.000000 1.000000
55.000000 1.620000 87000.000000 10.000000 2.000000
51.000000 1.650000 75000.000000 10.000000 1.000000
52.000000 1.670000 65000.000000 20.000000 2.000000
54.000000 1.670000 70000.000000 20.000000 1.000000
73.000000 1.700000 76000.000000 20.000000 1.000000
49.000000 1.710000 75000.000000 20.000000 1.000000
51.000000 1.450000 65000.000000 20.000000 2.000000
50.000000 1.780000 82000.000000 30.000000 1.000000
41.000000 1.580000 75000.000000 30.000000 2.000000
42.000000 1.770000 80000.000000 10.000000 1.000000
54.000000 1.700000 82000.000000 10.000000 1.000000
58.000000 1.550000 62000.000000 20.000000 2.000000
38.000000 1.660000 60000.000000 20.000000 2.000000
67.000000 1.520000 52000.000000 30.000000 2.000000
62.000000 1.620000 87000.000000 30.000000 2.000000
45.000000 1.550000 65000.000000 30.000000 2.000000
58.000000 1.730000 90000.000000 10.000000 1.000000
60.000000 1.550000 60000.000000 10.000000 2.000000
48.000000 1.600000 75000.000000 10.000000 2.000000
57.000000 1.520000 71000.000000 20.000000 2.000000
50.000000 1.750000 83000.000000 30.000000 1.000000
58.000000 1.900000 90000.000000 30.000000 1.000000
47.000000 1.850000 86000.000000 20.000000 1.000000
46.000000 1.650000 82000.000000 10.000000 2.000000
40.000000 1.690000 79000.000000 10.000000 1.000000
58.000000 1.570000 70000.000000 20.000000 2.000000
52.000000 1.490000 56000.000000 20.000000 2.000000
45.000000 1.730000 77000.000000 30.000000 1.000000
53.000000 1.670000 72000.000000 30.000000 1.000000
54.000000 1.670000 70000.000000 20.000000 1.000000
73.000000 1.700000 76000.000000 20.000000 1.000000
49.000000 1.710000 75000.000000 20.000000 1.000000
58.000000 1.550000 62000.000000 20.000000 2.000000
38.000000 1.660000 60000.000000 20.000000 2.000000
67.000000 1.520000 52000.000000 30.000000 2.000000
62.000000 1.620000 87000.000000 30.000000 2.000000
45.000000 1.550000 65000.000000 30.000000 2.000000
63.000000 1.650000 70000.000000 10.000000 1.000000
55.000000 1.620000 87000.000000 10.000000 2.000000
51.000000 1.650000 75000.000000 10.000000 1.000000
52.000000 1.670000 65000.000000 20.000000 2.000000
